gate,name,city,center,techDuty,emotionalState,socialState,baseFiveCity,aaFamily,rnaCodon,stop,start,softStop
1,Creative,Spirit,G,Repo seeder (init new projects),Inspired,Innovator,Soul,,,,,
2,Receptive,Spirit,G,Input buffer / intake router,Open,Supporter,Soul,,,,,
3,Ordering,Body,Sacral,Process initializer (chaos→order),Persistent,Builder,Body,,,,,
4,Answers,Mind,Ajna,Query resolver / FAQ engine,Curious,Analyst,Mind,,,,,
5,Patterns / Timing,Body,Sacral,Scheduler / cron controller,Patient,Timekeeper,Body,,,,,
6,Friction,Body,Solar Plexus,Lock manager / concurrency,Irritable,Challenger,Body,,,,,
7,Leadership,Spirit,G,Router governance / policies,Responsible,Leader,Soul,,,,,
8,Contribution,Spirit,Throat,Publisher / outbound commits,Expressive,Influencer,Spirit,,,,,
9,Focus,Body,Sacral,Thread/CPU focus manager,Concentrated,Specialist,Body,,,,,
10,Behavior / Role,Spirit,G,Auth/AUP enforcement,Authentic,Role Model,Soul,,,,,
11,Ideas,Mind,Ajna,Idea backlog / tickets,Imaginative,Visionary,Mind,,,,,
12,Standstill,Spirit,Throat,Terminator: moderation stop,Reserved,Gatekeeper,Spirit,,UGA,True,,
13,Listener,Spirit,G,Audit logger / historian,Empathetic,Archivist,Soul,,,,,
14,Resources,Spirit,G,Resource allocator (compute/mem),Content,Provider,Soul,,,,,
15,Rhythm,Spirit,G,System load/rhythm balancer,Flexible,Harmonizer,Soul,,,,,
16,Skills,Spirit,Throat,Plugin compiler / skill libs,Enthusiastic,Craftsman,Spirit,,,,,
17,Opinions,Mind,Ajna,Analytics dashboard,Critical,Analyst,Mind,,,,,
18,Correction,Body,Spleen,Log auditing / QA,Discerning,Perfectionist,Body,,,,,
19,Needs,Body,Root,Resource requests / deps,Sensitive,Seeker,Body,,,,,
20,Now / Presence,Spirit,Throat,Live telemetry / stream logs,Present,Broadcaster,Spirit,,,,,
21,Control / Treasurer,Spirit,Heart,ACL manager / quotas,Assertive,Enforcer,Heart,,,,,
22,Grace / Openness,Body,Solar Plexus,UX input handler (forms/chat),Gracious,Greeter,Body,,,,,
23,Assimilation,Spirit,Throat,ETL / transform pipeline,Clear,Explainer,Spirit,,,,,
24,Return / Rationalize,Mind,Ajna,Loopback/GC/dedupe,Reflective,Resolver,Mind,,,,,
25,Innocence / Trust,Spirit,G,Encryption & certs,Pure,Guardian,Soul,,,,,
26,Trickster,Spirit,Heart,Cache/CDN invalidation,Playful,Persuader,Heart,,,,,
27,Nourishment,Body,Sacral,Worker load balancer,Nurturing,Provider,Body,,,,,
28,Struggle / Risk,Body,Spleen,Fault injector / chaos tests,Defiant,Challenger,Body,,,,,
29,Commitment,Body,Sacral,Transaction committer,Devoted,Loyalist,Body,,,,,
30,Desire / Fire,Body,Solar Plexus,UX alerts / triggers,Passionate,Dreamer,Body,,,,,
31,Influence,Spirit,Throat,Status announcer,Humble,Leader,Spirit,,,,,
32,Continuity,Body,Spleen,Backup/restore snapshots,Cautious,Steward,Body,,,,,
33,Retreat,Spirit,Throat,Terminator: archive/close,Mindful,Archivist,Spirit,,UAA,True,,
34,Power,Body,Sacral,Raw compute provider (CPU/GPU),Energetic,Engine,Body,,,,,
35,Change / Adventure,Spirit,Throat,Migration/rollouts,Adventurous,Explorer,Spirit,,,,,
36,Crisis / Turbulence,Body,Solar Plexus,Incident responder,Stormy,First Responder,Body,,,,,
37,Family,Body,Solar Plexus,Group/role manager,Warm,Mediator,Body,,,,,
38,Fighter / Opposition,Body,Root,Quest/challenge allocator,Tenacious,Warrior,Body,,,,,
39,Provocation,Body,Root,Chaos monkey injections,Impish,Catalyst,Body,,,,,
40,Deliverance,Spirit,Heart,Job fulfillment queue,Resolute,Provider,Heart,,,,,
41,Start of Cycles,Body,Root,Bootloader / seed cycles,Anticipatory,Initiator,Body,,ATG,,True,
42,Completion / Growth,Body,Sacral,Auto-scaler / cycle finisher,Optimistic,Finisher,Body,,,,,
43,Insight / Breakthrough,Mind,Ajna,Breakthrough processor,Eureka,Inventor,Mind,,,,,
44,Alertness / Patterns,Body,Spleen,Threat signature detection,Alert,Scout,Body,,,,,
45,Gatherer / Sovereign,Spirit,Throat,Aggregator (feeds/resources),Assured,Steward,Spirit,,,,,
46,Embodiment / Serendipity,Spirit,G,UI↔Backend mapper,Playful,Optimist,Soul,,,,,
47,Realization / Abstraction,Mind,Ajna,Summarizer/compressor,Pressed,Synthesizer,Mind,,,,,
48,Depth / The Well,Body,Spleen,Solution library / KB,Thoughtful,Advisor,Body,,,,,
49,Principles / Revolution,Body,Solar Plexus,Access revocation / policy,Principled,Reformer,Body,,,,,
50,Values / Law,Body,Spleen,Compliance engine,Steady,Custodian,Body,,,,,
51,Shock / Initiation,Spirit,Heart,Intrusion detection / high alerts,Jolted,Awakener,Heart,,,,,
52,Stillness / Mountain,Body,Root,Rate limiting / freeze,Calm,Stabilizer,Body,,,,,
53,Development / Start,Body,Root,Instance spawner / rollout,Eager,Starter,Body,,,,,
54,Ambition,Body,Root,CI/CD promotions,Driven,Climber,Body,,,,,
55,Spirit / Abundance,Body,Solar Plexus,Sentiment analyzer / mood,Wave-like,Mood Influencer,Body,,,,,
56,Wanderer / Story,Spirit,Throat,UX soft stop (close streams),Playful,Storyteller,Spirit,,,,,True
57,Clarity / Intuition,Body,Spleen,Predictive monitoring,Subtle,Seer,Body,,,,,
58,Joy / Vitality,Body,Root,UX performance monitor,Buoyant,Energizer,Body,,,,,
59,Intimacy / Union,Body,Sacral,Matchmaking / pairing,Warm,Connector,Body,,,,,
60,Limitation,Body,Root,API throttling / sandbox,Accepting,Gatekeeper,Body,,,,,
61,Inner Truth / Mystery,Mind,Head,Knowledge validation / truth,Contemplative,Oracle,Mind,,,,,
62,Details / Precision,Mind,Ajna,Schema/type enforcement,Exact,Inspector,Mind,,,,,
63,Doubt / Inquiry,Mind,Head,Test suite / verification,Skeptical,Examiner,Mind,,,,,
64,Confusion / Vision,Mind,Head,Unstructured ingestion / cluster,Dreamy,Visionary,Mind,,,,,
